INDEX	H2	H2_SE	H2_CHISQ	H2_P	GC	GC_SE	GC_CHISQ	GC_P
66	1.04353e-01	1.29151e-02	6.52851e+01	6.48109e-16	-7.58967e-02	6.36228e-02	1.42305e+00	2.32902e-01
67	1.95719e-01	1.32732e-02	2.17428e+02	3.29245e-49	-2.38575e-02	4.96607e-02	2.30794e-01	6.30935e-01
68	1.97029e-01	1.32780e-02	2.20189e+02	8.22720e-50	-2.36146e-02	4.96620e-02	2.26107e-01	6.34426e-01
69	1.73428e-01	1.31902e-02	1.72875e+02	1.74301e-39	-2.08451e-03	5.45785e-02	1.45869e-03	9.69534e-01
70	1.18305e-01	1.29729e-02	8.31628e+01	7.55660e-20	2.44530e-02	6.20893e-02	1.55106e-01	6.93703e-01
71	1.12170e-01	1.29477e-02	7.50538e+01	4.58051e-18	3.71260e-02	6.49890e-02	3.26344e-01	5.67820e-01
72	1.01416e-01	1.29028e-02	6.17802e+01	3.84010e-15	6.20283e-03	6.57440e-02	8.90158e-03	9.24833e-01
73	9.76164e-02	1.28868e-02	5.73797e+01	3.59304e-14	1.58426e-02	6.90948e-02	5.25728e-02	8.18645e-01
74	9.22050e-02	1.28638e-02	5.13772e+01	7.62171e-13	-3.17937e-02	6.84606e-02	2.15676e-01	6.42355e-01
75	8.98401e-02	1.28537e-02	4.88522e+01	2.75997e-12	-2.51712e-02	7.07321e-02	1.26641e-01	7.21940e-01
76	9.12636e-02	1.28598e-02	5.03650e+01	1.27653e-12	-7.89699e-02	6.88126e-02	1.31700e+00	2.51131e-01
77	9.22603e-02	1.28640e-02	5.14370e+01	7.39325e-13	-7.79794e-02	6.80725e-02	1.31225e+00	2.51988e-01
78	9.65120e-02	1.28821e-02	5.61293e+01	6.78581e-14	-1.28977e-01	6.70897e-02	3.69582e+00	5.45490e-02
79	1.00393e-01	1.28985e-02	6.05802e+01	7.06419e-15	-1.22203e-01	6.41981e-02	3.62345e+00	5.69707e-02
80	1.00797e-01	1.29002e-02	6.10524e+01	5.55750e-15	-1.66009e-01	6.57447e-02	6.37594e+00	1.15678e-02
81	1.11903e-01	1.29465e-02	7.47095e+01	5.45339e-18	-1.44441e-01	6.11326e-02	5.58255e+00	1.81402e-02
82	1.02105e-01	1.29057e-02	6.25937e+01	2.54060e-15	-1.83529e-01	6.59254e-02	7.75004e+00	5.37114e-03
83	1.15356e-01	1.29608e-02	7.92160e+01	5.56770e-19	-1.14398e-01	6.02199e-02	3.60873e+00	5.74771e-02
84	1.27175e-01	1.30091e-02	9.55673e+01	1.42947e-22	-1.50237e-01	5.82492e-02	6.65232e+00	9.90268e-03
85	1.04974e-01	1.29177e-02	6.60383e+01	4.42249e-16	-1.78425e-01	6.58681e-02	7.33775e+00	6.75213e-03
86	1.31179e-01	1.30253e-02	1.01427e+02	7.41455e-24	-1.14861e-01	5.76197e-02	3.97379e+00	4.62136e-02
87	1.35455e-01	1.30424e-02	1.07863e+02	2.87978e-25	-1.38540e-01	5.75620e-02	5.79264e+00	1.60934e-02
88	9.47121e-02	1.28745e-02	5.41194e+01	1.88671e-13	-1.57749e-01	6.99737e-02	5.08231e+00	2.41711e-02
89	1.50594e-01	1.31024e-02	1.32104e+02	1.41981e-30	-1.04467e-01	5.52960e-02	3.56917e+00	5.88616e-02
90	1.41938e-01	1.30683e-02	1.17967e+02	1.76267e-27	-1.17822e-01	5.72579e-02	4.23432e+00	3.96145e-02
